시점,확진자 수
2020년 02월,2920
2020년 03월,6855
2020년 04월,979
2020년 05월,703
2020년 06월,1331
2020년 07월,1506
2020년 08월,5641
2020년 09월,3865
2020년 10월,2700
2020년 11월,7688
2020년 12월,26527
2021년 01월,17471
2021년 02월,11467
2021년 03월,13414
2021년 04월,18927
2021년 05월,18330
2021년 06월,16623
2021년 07월,41374
2021년 08월,53076
2021년 09월,59856
2021년 10월,53413
2021년 11월,82516
2021년 12월,183589
2022년 01월,214799
2022년 02월,2288336
2022년 03월,9960342
2022년 04월,4142536
2022년 05월,866052
2022년 06월,255807
2022년 07월,1416376
2022년 08월,3470429
2022년 09월,1522993
2022년 10월,788532
2022년 11월,1541420
